feature,shap_mean_abs,gain_importance
spliced_utr_dist,0.11237189,0.020243643
region_relative_pos,0.09425279,0.016889587
alu_full_mfe,0.07929206,0.02333254
sl1_terminal_mfe,0.068442255,0.02093162
ugg_motif_density,0.06809544,0.019194957
alu_gc_content,0.06599425,0.02100259
gc_rich_stem_density,0.065343775,0.021022445
agg_motif_density,0.061293576,0.018440573
overlap_bp,0.052091643,0.015745923
alu_length,0.044240166,0.014031373
rrna_18s_score,0.027681231,0.016358078
subfamily_age,0.026966857,0.01461583
is_antisense,0.018295217,0.015243816
sl1_ugg_count,0.015440815,0.015147631
subfamily_AluJb,0.011240587,0.017933512
subfamily_AluSz,0.009650007,0.019924229
subfamily_AluSx1,0.0074302037,0.017866299
subfamily_AluSq2,0.007284564,0.017900143
subfamily_AluSx,0.00668444,0.017441874
subfamily_AluJo,0.0046115974,0.017420994
subfamily_AluSg,0.0041820407,0.017291443
subfamily_AluJr,0.0039307335,0.015844688
subfamily_AluJr4,0.003591583,0.023373755
subfamily_AluY,0.003397615,0.018378451
subfamily_AluSp,0.0033716832,0.0138544645
subfamily_AluSc,0.0025402298,0.01956196
subfamily_AluSz6,0.0025087828,0.01694636
subfamily_AluSx3,0.002302665,0.018702846
subfamily_FLAM_C,0.0019011761,0.017356426
subfamily_AluSq,0.0015699054,0.02519456
subfamily_AluSc8,0.0015003169,0.015414294
subfamily_AluSg7,0.0013583528,0.026980592
subfamily_AluSx4,0.00091520505,0.017607141
subfamily_FLAM_A,0.0009030697,0.014464812
subfamily_AluYm1,0.00071126205,0.03078016
subfamily_AluSg4,0.00069754396,0.023506844
subfamily_FRAM,0.0005375885,0.013172114
subfamily_AluSc5,0.0004945036,0.013434632
subfamily_AluYk4,0.00045209384,0.0828392
subfamily_FAM,0.00034420023,0.011007146
subfamily_AluYh3,0.0003208541,0.014862869
subfamily_AluSq4,0.00027698817,0.021412956
subfamily_AluYc,0.00017629033,0.020652208
subfamily_AluYj4,0.0001465545,0.010503205
subfamily_AluYa5,0.000120778015,0.013901481
subfamily_AluYk11,0.00010732312,0.014490286
subfamily_AluYc3,6.828464e-05,0.0057710386
subfamily_AluSq10,4.3149532e-05,0.010355459
subfamily_AluYb8,3.892703e-05,0.014266605
subfamily_Alu,3.1793614e-05,0.0073759817
subfamily_AluYa8,2.998305e-05,0.010756339
subfamily_AluYb9,1.995467e-05,0.0070283096
subfamily_AluYf1,1.7146218e-05,0.0056746206
subfamily_AluYi6,1.5850395e-05,0.011374377
subfamily_AluYh3a3,1.4465443e-05,0.0028879237
subfamily_AluYe5,9.502938e-06,0.0135666225
subfamily_AluYg6,7.77291e-06,0.012211135
subfamily_AluYk2,5.06346e-06,0.00077926536
subfamily_AluYd8,4.458466e-06,0.0036360559
subfamily_AluYk3,2.0300697e-06,0.0020936516
region_inserted_3UTR,0.0,0.0
