feature,shap_mean_abs,gain_importance
spliced_utr_dist,0.12496581,0.019496879
region_relative_pos,0.085027754,0.0137142595
alu_full_mfe,0.06791064,0.018262167
overlap_bp,0.06238148,0.01379812
ugg_motif_density,0.061121684,0.016409418
sl1_terminal_mfe,0.059871357,0.017249204
gc_rich_stem_density,0.05854642,0.017631957
agg_motif_density,0.056799356,0.015522174
alu_gc_content,0.05672014,0.017605672
alu_length,0.03822001,0.011496817
subfamily_age,0.024533402,0.012840158
rrna_18s_score,0.022744328,0.013146674
region_inserted_CDS,0.020913564,0.056935076
region_inserted_5'UTR,0.020236162,0.016926743
is_antisense,0.016426893,0.011704968
sl1_ugg_count,0.013881969,0.012241095
region_inserted_3UTR,0.010298351,0.0129806
subfamily_AluJb,0.00945642,0.014922749
subfamily_AluSz,0.008223895,0.016835999
subfamily_AluSq2,0.0075178184,0.016564766
subfamily_AluSx1,0.007137588,0.016408604
subfamily_AluSx,0.0055192835,0.015247066
subfamily_AluSg,0.0043972754,0.013904283
subfamily_AluJo,0.0040206215,0.015797133
subfamily_AluJr,0.0038346625,0.013919508
subfamily_AluY,0.0034974345,0.017701281
subfamily_AluSp,0.0034831706,0.01406551
subfamily_AluJr4,0.002701463,0.016792273
subfamily_AluSc,0.0025336787,0.016760759
subfamily_AluSz6,0.0023758132,0.013234743
subfamily_FLAM_C,0.0020259086,0.014630181
subfamily_AluSx3,0.0019579313,0.01626412
subfamily_AluSg7,0.0013625915,0.02363645
subfamily_AluSq,0.0012649117,0.019501526
subfamily_AluSc8,0.0012209364,0.012788886
subfamily_AluSx4,0.0008873382,0.014811154
subfamily_FRAM,0.0007684529,0.013799051
subfamily_FLAM_A,0.00074428815,0.012472806
subfamily_AluSg4,0.00061375275,0.020987373
subfamily_FAM,0.0005311135,0.0113368705
subfamily_AluYm1,0.00050940586,0.022499999
subfamily_AluYh3,0.00048660673,0.018738829
subfamily_AluSc5,0.00047934463,0.011004824
subfamily_AluYk4,0.000409909,0.09644962
subfamily_AluYc,0.0003130672,0.019110326
subfamily_AluSq4,0.00028418828,0.018718364
subfamily_AluYj4,0.00020329849,0.010307998
subfamily_AluYa5,0.000115135386,0.017678253
subfamily_AluYk11,9.597272e-05,0.0133624105
subfamily_AluSq10,6.764176e-05,0.0071611595
subfamily_AluYc3,5.787136e-05,0.0041214474
subfamily_Alu,5.0058974e-05,0.006466484
subfamily_AluYa8,4.1432315e-05,0.0041766735
subfamily_AluYf1,1.8566923e-05,0.008276746
subfamily_AluYh3a3,1.5756994e-05,0.0032986784
subfamily_AluYb9,1.5281623e-05,0.011401302
subfamily_AluYb8,1.4107598e-05,0.009743564
subfamily_AluYi6,9.618172e-06,0.0060990034
subfamily_AluYe5,8.514534e-06,0.0074618002
subfamily_AluYk2,6.71563e-06,0.0033493303
subfamily_AluYk3,3.026082e-06,0.037163865
subfamily_AluYd8,2.9239786e-06,0.0017498754
subfamily_AluYg6,1.6427317e-06,0.001314348
