gene_id,gene_name,n_alu_plus,n_alu_minus,te_median_alu_plus,te_median_alu_minus,diff
ENSG00000000419,DPM1,3,4,8.80845,7.85105,0.957399
ENSG00000000457,SCYL3,1,3,1.30981,1.32517,-0.015354
ENSG00000001036,FUCA2,1,1,1.25038,1.87573,-0.625351
ENSG00000001084,GCLC,1,7,2.22666,1.75265,0.474006
ENSG00000001461,NIPAL3,3,2,0.31342,0.700891,-0.387471
ENSG00000001497,LAS1L,1,11,3.75969,3.68182,0.077866
ENSG00000001630,CYP51A1,1,3,1.1017,1.06878,0.032915
ENSG00000002016,RAD52,2,1,1.83469,1.60397,0.230721
ENSG00000002834,LASP1,1,5,4.35923,1.68982,2.66941
ENSG00000002919,SNX11,1,9,1.1028,0.773929,0.328875
ENSG00000003249,DBNDD1,2,4,0.550803,0.53962,0.011183
ENSG00000003402,CFLAR,3,2,1.05107,0.809322,0.241745
ENSG00000003509,NDUFAF7,2,6,3.17623,2.26758,0.908645
ENSG00000003756,RBM5,1,7,1.65007,1.98856,-0.338487
ENSG00000003989,SLC7A2,4,2,1.19252,1.42479,-0.23227
ENSG00000004455,AK2,7,8,1.93901,0.933882,1.00513
ENSG00000004478,FKBP4,2,4,1.74302,1.58395,0.159075
ENSG00000004487,KDM1A,3,20,2.88378,1.72664,1.15715
ENSG00000004766,VPS50,1,5,4.93225,5.43988,-0.507631
ENSG00000004779,NDUFAB1,1,4,8.99107,4.44115,4.54992
ENSG00000005020,SKAP2,1,1,3.80088,14.4172,-10.6163
ENSG00000005100,DHX33,1,3,0.72203,0.927589,-0.205559
ENSG00000005156,LIG3,1,6,1.90518,1.1351,0.770075
ENSG00000005206,SPPL2B,2,3,0.710595,0.577289,0.133306
ENSG00000005436,GCFC2,2,7,2.34246,1.42196,0.9205
ENSG00000005469,CROT,2,2,2.97519,4.41976,-1.44457
ENSG00000005801,ZNF195,4,2,1.37933,1.65069,-0.271368
ENSG00000005810,MYCBP2,4,6,0.903466,0.784927,0.118539
ENSG00000005882,PDK2,1,7,1.67352,1.72634,-0.052821
ENSG00000005889,ZFX,4,3,0.99573,0.776386,0.219344
ENSG00000005893,LAMP2,1,3,2.06193,3.44335,-1.38142
ENSG00000006007,GDE1,2,2,0.456066,0.581324,-0.125258
ENSG00000006042,TMEM98,3,4,0.881821,0.561516,0.320305
ENSG00000006194,ZNF263,3,4,0.489076,0.719245,-0.230169
ENSG00000006459,KDM7A,1,1,1.29668,1.82706,-0.530379
ENSG00000006530,AGK,2,14,1.95254,2.24319,-0.29065
ENSG00000006607,FARP2,1,7,0.549436,1.13741,-0.587975
ENSG00000006634,DBF4,1,3,1.92085,0.703702,1.21715
ENSG00000006695,COX10,2,4,1.55401,0.578778,0.975234
ENSG00000006704,GTF2IRD1,1,4,0.833749,0.593695,0.240054
ENSG00000006715,VPS41,1,8,1.4388,1.19104,0.247755
ENSG00000007080,CCDC124,1,2,1.08878,1.0269,0.0618775
ENSG00000007168,PAFAH1B1,5,10,3.9744,3.74023,0.234169
ENSG00000007545,CRAMP1,2,2,0.430372,0.514596,-0.084224
ENSG00000008282,SYPL1,2,3,3.24092,3.01882,0.222101
ENSG00000008294,SPAG9,1,7,1.13375,1.45342,-0.319668
ENSG00000008324,SS18L2,1,1,6.23905,2.39285,3.84621
ENSG00000008838,MED24,1,20,0.848865,0.79113,0.0577345
ENSG00000008869,HEATR5B,1,1,1.44719,1.49008,-0.042893
ENSG00000008952,SEC62,1,4,4.06968,3.07386,0.995824
ENSG00000008988,RPS20,6,5,4.49296,1.64652,2.84643
ENSG00000009780,FAM76A,5,2,0.868788,0.988395,-0.119607
ENSG00000009844,VTA1,1,3,9.47355,4.72506,4.74849
ENSG00000010244,ZNF207,2,9,5.07107,2.9325,2.13856
ENSG00000010270,STARD3NL,1,5,0.560533,0.698883,-0.13835
ENSG00000010292,NCAPD2,1,3,1.79495,1.34461,0.450347
ENSG00000010295,IFFO1,1,5,1.49708,0.941399,0.555685
ENSG00000010810,FYN,2,16,0.617738,0.593255,0.0244825
ENSG00000011114,BTBD7,2,5,0.332786,0.369203,-0.0364165
ENSG00000011198,ABHD5,2,8,1.47619,1.22987,0.246327
ENSG00000011258,MBTD1,1,4,1.84616,0.961437,0.884721
ENSG00000011275,RNF216,3,2,1.21359,1.37848,-0.164891
ENSG00000011376,LARS2,3,6,0.865784,1.04043,-0.174649
ENSG00000011405,PIK3C2A,3,1,1.45795,1.0399,0.418049
ENSG00000011451,WIZ,4,4,0.668523,0.497358,0.171165
ENSG00000011478,QPCTL,3,1,1.72217,0.822746,0.899423
ENSG00000011638,LDAF1,3,5,0.991767,0.96128,0.030487
ENSG00000012048,BRCA1,20,10,1.17738,1.0637,0.113684
ENSG00000012061,ERCC1,5,8,1.09048,0.904888,0.18559
ENSG00000012174,MBTPS2,1,1,5.54149,1.34793,4.19356
ENSG00000012211,PRICKLE3,1,3,0.373832,0.865098,-0.491266
ENSG00000013306,SLC25A39,3,9,0.47485,0.351559,0.123291
ENSG00000013374,NUB1,2,6,2.36487,2.69961,-0.334736
ENSG00000013523,ANGEL1,3,2,0.854396,0.556743,0.297654
ENSG00000013561,RNF14,4,10,0.859846,0.764457,0.0953895
ENSG00000013810,TACC3,1,8,1.63279,1.61549,0.0172985
ENSG00000014138,POLA2,2,2,2.55298,1.77764,0.775339
ENSG00000014641,MDH1,1,9,12.9151,4.33399,8.58108
ENSG00000014824,SLC30A9,1,1,2.99227,1.31722,1.67506
ENSG00000014919,COX15,1,1,2.46036,1.70499,0.755373
ENSG00000015153,YAF2,2,3,4.66052,1.20462,3.45591
ENSG00000015532,XYLT2,1,4,0.243825,0.243264,0.0005605
ENSG00000016391,CHDH,1,2,1.01034,0.541046,0.469292
ENSG00000016864,GLT8D1,1,9,1.27754,1.19916,0.078387
ENSG00000017797,RALBP1,3,3,1.29091,0.376533,0.914376
ENSG00000018189,RUFY3,1,8,0.903054,1.14497,-0.241915
ENSG00000018408,WWTR1,2,7,1.33177,1.8578,-0.526027
ENSG00000018510,AGPS,1,14,3.37911,3.9617,-0.582588
ENSG00000018699,TTC27,1,6,2.11935,1.60913,0.51022
ENSG00000020256,ZFP64,5,4,0.549031,0.596428,-0.047397
ENSG00000020922,MRE11,1,6,1.83321,2.91498,-1.08177
ENSG00000021574,SPAST,5,9,0.908509,0.909386,-0.000877
ENSG00000021776,AQR,1,2,3.729,1.7106,2.0184
ENSG00000021826,CPS1,4,1,0.621175,0.551895,0.06928
ENSG00000022267,FHL1,4,27,3.64731,5.11949,-1.47219
ENSG00000023191,RNH1,2,15,1.65979,1.55499,0.1048
ENSG00000023228,NDUFS1,1,7,1.54489,1.68345,-0.138552
ENSG00000023287,RB1CC1,1,7,4.21774,1.17941,3.03833
ENSG00000023572,GLRX2,1,2,3.60506,4.10089,-0.495828
ENSG00000024048,UBR2,1,2,2.23382,2.05038,0.183442
ENSG00000025293,PHF20,3,3,1.95861,1.75569,0.202923
ENSG00000025796,SEC63,2,1,3.90954,3.28388,0.625655
ENSG00000025800,KPNA6,1,2,1.36392,1.57136,-0.207437
ENSG00000028116,VRK2,2,6,5.09269,3.41955,1.67314
ENSG00000028528,SNX1,4,7,1.79874,1.82516,-0.026425
ENSG00000028839,TBPL1,1,5,1.61985,2.13391,-0.514063
ENSG00000030066,NUP160,1,6,0.975028,1.72307,-0.748038
ENSG00000031003,FAM13B,2,7,0.926236,0.474445,0.451791
ENSG00000031081,ARHGAP31,1,1,0.518772,0.489945,0.028827
ENSG00000031823,RANBP3,1,15,0.404716,1.23426,-0.829542
ENSG00000033011,ALG1,2,10,1.31764,1.2738,0.043837
ENSG00000033030,ZCCHC8,4,2,2.81729,1.8281,0.989196
ENSG00000033170,FUT8,2,11,1.12445,0.921085,0.203363
ENSG00000033627,ATP6V0A1,1,13,0.952122,1.28337,-0.331251
ENSG00000034677,RNF19A,2,3,1.41773,1.23934,0.178397
ENSG00000035403,VCL,1,2,2.94451,1.87761,1.06691
ENSG00000035499,DEPDC1B,1,3,0.362012,1.95877,-1.59676
ENSG00000037241,RPL26L1,1,5,0.587282,0.539667,0.047615
ENSG00000037749,MFAP3,4,4,1.88703,2.84776,-0.960726
ENSG00000038219,BOD1L1,1,2,3.69114,3.43932,0.251816
ENSG00000038274,MAT2B,3,18,6.59454,4.81698,1.77757
ENSG00000039123,MTREX,1,3,15.8392,4.26965,11.5695
ENSG00000039319,ZFYVE16,2,5,5.45768,3.51357,1.94411
ENSG00000039560,RAI14,1,17,1.19333,1.10209,0.091238
ENSG00000040199,PHLPP2,3,2,0.373959,0.623851,-0.249892
ENSG00000040487,SLC66A1,4,2,1.15458,0.749731,0.404845
ENSG00000040531,CTNS,2,9,1.23734,1.12062,0.116721
ENSG00000041357,PSMA4,1,12,17.8912,4.57421,13.317
ENSG00000041802,LSG1,1,2,1.1805,1.33326,-0.152762
ENSG00000042088,TDP1,7,8,0.793404,0.831732,-0.0383275
ENSG00000042429,MED17,1,8,2.75517,2.01619,0.73898
ENSG00000043093,DCUN1D1,1,7,1.81662,1.96236,-0.145739
ENSG00000043514,TRIT1,2,10,3.17235,2.20524,0.967108
ENSG00000044115,CTNNA1,6,26,2.96405,2.39294,0.571107
ENSG00000044459,CNTLN,1,1,2.17884,3.58422,-1.40538
ENSG00000044574,HSPA5,2,1,10.4202,6.57091,3.84925
ENSG00000046604,DSG2,1,3,1.89926,2.72938,-0.830117
ENSG00000046647,GEMIN8,2,3,2.5073,1.43341,1.07389
ENSG00000047315,POLR2B,1,5,3.19216,2.10881,1.08335
ENSG00000047849,MAP4,2,11,9.12255,1.02278,8.09977
ENSG00000048028,USP28,3,5,0.80568,0.841411,-0.035731
ENSG00000048162,NOP16,1,5,3.16774,3.42197,-0.254224
ENSG00000048392,RRM2B,1,6,1.44825,2.91088,-1.46264
ENSG00000048471,SNX29,1,4,1.33224,1.06533,0.266911
ENSG00000049245,VAMP3,1,1,2.45579,1.30192,1.15387
ENSG00000049541,RFC2,5,7,2.15092,1.1018,1.04912
ENSG00000049618,ARID1B,3,18,0.61775,0.4821,0.13565
ENSG00000049883,PTCD2,1,1,1.08465,1.39344,-0.308791
ENSG00000050393,MCUR1,2,1,0.88202,0.390498,0.491522
ENSG00000050405,LIMA1,1,9,2.48209,1.90108,0.581007
ENSG00000051108,HERPUD1,1,9,3.39667,1.79143,1.60524
ENSG00000051180,RAD51,4,7,1.78325,1.77307,0.0101775
ENSG00000051382,PIK3CB,2,7,1.08328,0.973859,0.109422
ENSG00000051523,CYBA,2,12,1.74923,2.18475,-0.435515
ENSG00000051620,HEBP2,1,3,16.9128,0.6435,16.2693
ENSG00000051825,MPHOSPH9,3,11,0.567067,0.587562,-0.020495
ENSG00000052749,RRP12,1,7,2.88853,1.28947,1.59906
ENSG00000052802,MSMO1,2,3,2.87724,3.02047,-0.143231
ENSG00000053371,AKR7A2,1,3,0.794156,0.878755,-0.084599
ENSG00000053501,USE1,2,5,1.36182,0.94209,0.419735
ENSG00000054282,SDCCAG8,1,2,3.31866,2.62302,0.695632
ENSG00000054523,KIF1B,13,4,0.720891,0.498583,0.222308
ENSG00000054611,TBC1D22A,2,6,0.84438,0.800569,0.0438115
ENSG00000054690,PLEKHH1,1,3,1.0205,1.28103,-0.26053
ENSG00000055130,CUL1,1,15,0.981099,1.82267,-0.841574
ENSG00000055163,CYFIP2,2,11,0.330194,0.618572,-0.288378
ENSG00000055208,TAB2,2,5,0.685246,0.72751,-0.0422635
ENSG00000055211,GINM1,2,1,1.48121,1.01558,0.465631
ENSG00000055332,EIF2AK2,9,1,3.24455,2.69629,0.548257
ENSG00000056277,ZNF280C,1,1,1.89469,1.72645,0.168244
ENSG00000056586,RC3H2,1,6,0.310496,0.249663,0.060833
ENSG00000056998,GYG2,2,2,1.08252,1.18082,-0.098293
ENSG00000057252,SOAT1,3,1,2.9765,1.61531,1.36119
ENSG00000057704,TMCC3,2,1,0.946524,0.578394,0.36813
ENSG00000057757,PITHD1,1,2,1.096,1.65716,-0.561164
ENSG00000057935,MTA3,1,8,0.960091,2.2408,-1.28071
ENSG00000058056,USP13,2,51,1.11966,1.41935,-0.299687
ENSG00000058262,SEC61A1,4,9,2.11389,2.54719,-0.433299
ENSG00000058729,RIOK2,1,4,7.11758,5.30244,1.81514
ENSG00000059145,UNKL,5,4,0.8985,0.697988,0.200512
ENSG00000060339,CCAR1,2,12,3.28985,2.81513,0.474715
ENSG00000060491,OGFR,1,2,0.566863,0.567878,-0.001015
ENSG00000061337,LZTS1,2,1,0.522643,0.689246,-0.166603
ENSG00000061676,NCKAP1,1,1,6.1472,1.56699,4.58021
ENSG00000061918,GUCY1B1,2,6,1.82748,1.82118,0.006293
ENSG00000061987,MON2,2,6,2.77635,1.78588,0.990472
ENSG00000062485,CS,1,21,1.25366,1.09722,0.156436
ENSG00000062716,VMP1,1,10,2.12322,1.97606,0.147153
ENSG00000062725,APPBP2,1,3,3.69314,1.5669,2.12624
